Alimento,Doencas_Restritivas,Calorias,Refeicao_Indicada
Pão Integral,Diabetes Tipo 1,255,Jantar
Peras,Doenças Cardíacas,145,Jantar
Pimentão,Obesidade,405,Almoço
Acelga,Nenhuma,430,Café da Manhã
Tofu,Nenhuma,419,Lanche da Tarde
Batata Doce,Hipertensão,53,Almoço
Blueberry,Doença Celíaca,479,Jantar
Blueberry,Obesidade,203,Almoço
Lentilhas,Hipertensão,357,Jantar
Espinafre,Colesterol Alto,462,Jantar
Tomate,Nenhuma,388,Almoço
Castanha de Caju,Diabetes Tipo 2,158,Café da Manhã
Pimentão,Hipertensão,273,Almoço
Pepino,Diabetes Tipo 1,457,Lanche da Tarde
Batata Doce,Obesidade,160,Café da Manhã
Blueberry,Osteoporose,316,Jantar
Feijão Preto,Diabetes Tipo 2,447,Lanche da Tarde
Couve,Hipertensão,383,Café da Manhã
Ovos,Colesterol Alto,63,Jantar
Chia,Osteoporose,371,Lanche da Tarde
Ovos,Nenhuma,53,Almoço
Feijão Preto,Insuficiência Renal,190,Almoço
Tofu,Colesterol Alto,58,Café da Manhã
Abacate,Doença Celíaca,316,Almoço
Morango,Insuficiência Renal,431,Café da Manhã
Lentilhas,Hipertensão,312,Almoço
Tomate,Doença Celíaca,358,Café da Manhã
Grão-de-Bico,Osteoporose,465,Café da Manhã
Semente de Linhaça,Obesidade,425,Lanche da Tarde
Grão-de-Bico,Insuficiência Renal,349,Almoço
Cenoura,Hipertensão,199,Lanche da Tarde
Morango,Diabetes Tipo 1,319,Almoço
Semente de Linhaça,Obesidade,377,Almoço
Castanha de Caju,Doenças Cardíacas,351,Almoço
Morango,Hipertensão,78,Lanche da Tarde
Tofu,Nenhuma,388,Jantar
Peito de Frango,Diabetes Tipo 2,463,Lanche da Tarde
Ervilhas,Doenças Cardíacas,367,Lanche da Tarde
Grão-de-Bico,Colesterol Alto,460,Almoço
Carne Magra,Diabetes Tipo 1,356,Café da Manhã
Banana,Doença Celíaca,65,Almoço
Pão Integral,Insuficiência Renal,480,Almoço
Queijo Cottage,Colesterol Alto,371,Café da Manhã
Arroz Integral,Osteoporose,159,Almoço
Ervilhas,Osteoporose,229,Jantar
Acelga,Osteoporose,331,Lanche da Tarde
Acelga,Diabetes Tipo 2,68,Lanche da Tarde
Aveia,Nenhuma,89,Lanche da Tarde
Peito de Frango,Doença Celíaca,226,Jantar
Banana,Doença Celíaca,351,Lanche da Tarde
Acelga,Doenças Cardíacas,456,Café da Manhã
Batata Doce,Hipertensão,77,Lanche da Tarde
Banana,Osteoporose,94,Almoço
Banana,Osteoporose,216,Almoço
Batata Doce,Hipertensão,291,Lanche da Tarde
Aveia,Doença Celíaca,50,Jantar
Couve,Insuficiência Renal,187,Café da Manhã
Castanha de Caju,Hipertensão,72,Almoço
Semente de Linhaça,Nenhuma,375,Jantar
Feijão Preto,Nenhuma,175,Café da Manhã
Tomate,Osteoporose,457,Café da Manhã
Grão-de-Bico,Colesterol Alto,376,Lanche da Tarde
Couve,Obesidade,392,Lanche da Tarde
Ovos,Doença Celíaca,371,Almoço
Aveia,Osteoporose,489,Café da Manhã
Arroz Integral,Osteoporose,233,Jantar
Tomate,Colesterol Alto,460,Café da Manhã
Maçã,Diabetes Tipo 1,209,Jantar
Abacate,Colesterol Alto,453,Jantar
Feijão Preto,Doença Celíaca,495,Jantar
Grão-de-Bico,Colesterol Alto,331,Jantar
Peito de Frango,Osteoporose,377,Jantar
Queijo Cottage,Insuficiência Renal,61,Lanche da Tarde
Blueberry,Colesterol Alto,429,Café da Manhã
Laranja,Diabetes Tipo 1,235,Jantar
Batata Doce,Obesidade,105,Jantar
Iogurte Natural,Doença Celíaca,323,Almoço
Carne Magra,Obesidade,488,Lanche da Tarde
Batata Inglesa,Insuficiência Renal,154,Café da Manhã
Banana,Colesterol Alto,306,Café da Manhã
Ovos,Osteoporose,317,Jantar
Pepino,Hipertensão,86,Lanche da Tarde
Quinoa,Diabetes Tipo 1,277,Jantar
Queijo Cottage,Doença Celíaca,255,Lanche da Tarde
Peito de Frango,Osteoporose,302,Lanche da Tarde
Ervilhas,Osteoporose,314,Café da Manhã
Laranja,Diabetes Tipo 2,369,Jantar
Semente de Linhaça,Insuficiência Renal,444,Lanche da Tarde
Tomate,Insuficiência Renal,267,Almoço
Lentilhas,Colesterol Alto,283,Café da Manhã
Batata Doce,Nenhuma,59,Café da Manhã
Tilápia,Nenhuma,168,Lanche da Tarde
Acelga,Diabetes Tipo 1,134,Café da Manhã
Ervilhas,Diabetes Tipo 2,310,Almoço
Ovos,Doença Celíaca,493,Almoço
Blueberry,Diabetes Tipo 1,89,Jantar
Peito de Frango,Nenhuma,258,Café da Manhã
Tomate,Osteoporose,288,Lanche da Tarde
Cenoura,Diabetes Tipo 1,256,Jantar
Feijão Preto,Doenças Cardíacas,265,Jantar
Peras,Obesidade,288,Jantar
Ervilhas,Colesterol Alto,358,Lanche da Tarde
Abobrinha,Diabetes Tipo 2,405,Jantar
Brócolis,Doenças Cardíacas,173,Almoço
Peito de Frango,Hipertensão,98,Café da Manhã
Amêndoas,Hipertensão,336,Café da Manhã
Ovos,Doenças Cardíacas,53,Almoço
Cenoura,Diabetes Tipo 2,60,Jantar
Pão Integral,Hipertensão,338,Almoço
Aveia,Diabetes Tipo 1,199,Almoço
Quinoa,Doenças Cardíacas,475,Café da Manhã
Cenoura,Hipertensão,428,Almoço
Tilápia,Doença Celíaca,160,Almoço
Salmão,Colesterol Alto,403,Lanche da Tarde
Carne Magra,Hipertensão,196,Almoço
Espinafre,Diabetes Tipo 1,275,Café da Manhã
Peito de Frango,Diabetes Tipo 2,229,Café da Manhã
Couve,Hipertensão,254,Jantar
Couve,Colesterol Alto,241,Café da Manhã
Abacate,Diabetes Tipo 2,102,Almoço
Peras,Doenças Cardíacas,395,Café da Manhã
Espinafre,Diabetes Tipo 1,229,Jantar
Tofu,Obesidade,398,Café da Manhã
Quinoa,Hipertensão,219,Almoço
Banana,Doença Celíaca,323,Almoço
Batata Doce,Diabetes Tipo 2,448,Lanche da Tarde
Peito de Frango,Diabetes Tipo 2,365,Lanche da Tarde
Lentilhas,Osteoporose,366,Jantar
Feijão Preto,Obesidade,63,Jantar
Morango,Osteoporose,147,Café da Manhã
Quinoa,Doenças Cardíacas,328,Café da Manhã
Grão-de-Bico,Diabetes Tipo 1,294,Jantar
Tilápia,Nenhuma,495,Jantar
Aveia,Nenhuma,394,Jantar
Pão Integral,Doença Celíaca,464,Jantar
Maçã,Doença Celíaca,444,Almoço
Chia,Doenças Cardíacas,181,Café da Manhã
Abacate,Nenhuma,209,Lanche da Tarde
Peito de Frango,Insuficiência Renal,82,Jantar
Blueberry,Doença Celíaca,447,Almoço
Cenoura,Insuficiência Renal,227,Lanche da Tarde
Pão Integral,Osteoporose,89,Jantar
Feijão Preto,Insuficiência Renal,434,Jantar
Cenoura,Doenças Cardíacas,288,Café da Manhã
Arroz Integral,Insuficiência Renal,74,Jantar
Brócolis,Obesidade,390,Lanche da Tarde
Couve,Doenças Cardíacas,93,Café da Manhã
Batata Inglesa,Osteoporose,411,Café da Manhã
Tofu,Diabetes Tipo 1,268,Lanche da Tarde
Brócolis,Hipertensão,269,Almoço
Acelga,Colesterol Alto,140,Almoço
Feijão Preto,Hipertensão,403,Jantar
Quinoa,Colesterol Alto,396,Jantar
Morango,Nenhuma,475,Almoço
Feijão Preto,Doença Celíaca,209,Almoço
Carne Magra,Colesterol Alto,90,Almoço
Ervilhas,Diabetes Tipo 1,273,Lanche da Tarde
Arroz Integral,Doença Celíaca,314,Jantar
Pimentão,Nenhuma,483,Almoço
Laranja,Diabetes Tipo 2,214,Almoço
Cenoura,Doenças Cardíacas,387,Jantar
Lentilhas,Diabetes Tipo 2,400,Lanche da Tarde
Aveia,Diabetes Tipo 2,435,Lanche da Tarde
Queijo Cottage,Obesidade,236,Almoço
Tilápia,Hipertensão,335,Café da Manhã
Pimentão,Osteoporose,295,Almoço
Peras,Hipertensão,258,Almoço
Pepino,Doença Celíaca,134,Jantar
Batata Doce,Hipertensão,186,Lanche da Tarde
Chia,Doenças Cardíacas,169,Jantar
Pão Integral,Diabetes Tipo 2,342,Lanche da Tarde
Aveia,Colesterol Alto,399,Café da Manhã
Chia,Colesterol Alto,237,Jantar
Tomate,Colesterol Alto,285,Café da Manhã
Quinoa,Obesidade,158,Jantar
Pepino,Nenhuma,321,Lanche da Tarde
Feijão Preto,Obesidade,63,Café da Manhã
Semente de Linhaça,Nenhuma,203,Café da Manhã
Couve,Osteoporose,304,Almoço
Abobrinha,Obesidade,279,Lanche da Tarde
Abacate,Insuficiência Renal,258,Jantar
Aveia,Doença Celíaca,356,Jantar
Pepino,Diabetes Tipo 2,445,Café da Manhã
Castanha de Caju,Diabetes Tipo 2,352,Jantar
Batata Inglesa,Colesterol Alto,180,Almoço
Ervilhas,Nenhuma,211,Jantar
Pepino,Insuficiência Renal,140,Almoço
Amêndoas,Doenças Cardíacas,219,Lanche da Tarde
Semente de Linhaça,Doenças Cardíacas,307,Lanche da Tarde
Grão-de-Bico,Doenças Cardíacas,460,Lanche da Tarde
Batata Doce,Doenças Cardíacas,389,Café da Manhã
Tofu,Doença Celíaca,461,Café da Manhã
Ovos,Insuficiência Renal,299,Lanche da Tarde
Banana,Nenhuma,149,Jantar
Blueberry,Osteoporose,200,Jantar
Ovos,Hipertensão,267,Almoço
Semente de Linhaça,Hipertensão,266,Jantar
Pimentão,Obesidade,414,Jantar
Blueberry,Nenhuma,390,Jantar
Amêndoas,Diabetes Tipo 1,470,Almoço
Pão Integral,Diabetes Tipo 1,295,Lanche da Tarde
Quinoa,Insuficiência Renal,458,Café da Manhã
Espinafre,Colesterol Alto,80,Lanche da Tarde
Semente de Linhaça,Nenhuma,190,Lanche da Tarde
Quinoa,Osteoporose,358,Jantar
Abobrinha,Diabetes Tipo 1,297,Café da Manhã
Castanha de Caju,Diabetes Tipo 1,284,Almoço
Pão Integral,Diabetes Tipo 2,106,Jantar
Peras,Osteoporose,270,Jantar
Lentilhas,Obesidade,292,Almoço
Tilápia,Osteoporose,118,Almoço
Quinoa,Diabetes Tipo 1,499,Lanche da Tarde
Aveia,Colesterol Alto,119,Lanche da Tarde
Iogurte Natural,Doenças Cardíacas,222,Jantar
Batata Inglesa,Colesterol Alto,391,Almoço
Semente de Linhaça,Doença Celíaca,300,Lanche da Tarde
Peras,Obesidade,163,Jantar
Abacate,Doenças Cardíacas,458,Almoço
Laranja,Diabetes Tipo 2,186,Jantar
Aveia,Osteoporose,298,Almoço
Maçã,Diabetes Tipo 2,172,Jantar
Batata Inglesa,Osteoporose,418,Lanche da Tarde
Salmão,Obesidade,428,Almoço
Pepino,Diabetes Tipo 1,464,Café da Manhã
Peras,Insuficiência Renal,338,Almoço
Aveia,Osteoporose,391,Café da Manhã
Castanha de Caju,Nenhuma,235,Café da Manhã
Amêndoas,Osteoporose,423,Jantar
Pimentão,Colesterol Alto,390,Jantar
Tomate,Obesidade,387,Jantar
Batata Inglesa,Colesterol Alto,176,Almoço
Carne Magra,Doença Celíaca,195,Jantar
Tomate,Doença Celíaca,381,Almoço
Aveia,Diabetes Tipo 1,452,Lanche da Tarde
Tilápia,Doenças Cardíacas,427,Jantar
Carne Magra,Diabetes Tipo 2,213,Café da Manhã
Espinafre,Doença Celíaca,364,Jantar
Abacate,Doença Celíaca,135,Jantar
Cenoura,Doença Celíaca,349,Lanche da Tarde
Maçã,Hipertensão,497,Almoço
Abobrinha,Doenças Cardíacas,404,Café da Manhã
Grão-de-Bico,Diabetes Tipo 1,421,Jantar
Banana,Nenhuma,147,Almoço
Peras,Insuficiência Renal,205,Lanche da Tarde
Peras,Colesterol Alto,497,Lanche da Tarde
Carne Magra,Colesterol Alto,101,Lanche da Tarde
Banana,Doenças Cardíacas,109,Almoço
Queijo Cottage,Diabetes Tipo 1,214,Almoço
Laranja,Diabetes Tipo 1,226,Lanche da Tarde
Feijão Preto,Diabetes Tipo 1,275,Café da Manhã
Salmão,Diabetes Tipo 2,445,Café da Manhã
Abobrinha,Insuficiência Renal,287,Almoço
Acelga,Obesidade,122,Lanche da Tarde
Couve,Obesidade,285,Café da Manhã
Morango,Osteoporose,399,Almoço
Pepino,Doença Celíaca,467,Café da Manhã
Abobrinha,Diabetes Tipo 1,225,Café da Manhã
Aveia,Diabetes Tipo 2,192,Almoço
Lentilhas,Diabetes Tipo 1,416,Café da Manhã
Semente de Linhaça,Diabetes Tipo 2,209,Almoço
Queijo Cottage,Obesidade,265,Café da Manhã
Banana,Doenças Cardíacas,369,Jantar
Brócolis,Insuficiência Renal,221,Café da Manhã
Cenoura,Nenhuma,71,Almoço
Iogurte Natural,Diabetes Tipo 1,436,Lanche da Tarde
Maçã,Doenças Cardíacas,204,Jantar
Aveia,Diabetes Tipo 2,278,Lanche da Tarde
Couve,Insuficiência Renal,59,Jantar
Abacate,Osteoporose,435,Lanche da Tarde
Tomate,Diabetes Tipo 1,490,Almoço
Peito de Frango,Diabetes Tipo 1,373,Almoço
Abacate,Osteoporose,387,Café da Manhã
Pão Integral,Insuficiência Renal,307,Café da Manhã
Ovos,Doença Celíaca,162,Lanche da Tarde
Ovos,Insuficiência Renal,336,Almoço
Peito de Frango,Doenças Cardíacas,84,Café da Manhã
Feijão Preto,Osteoporose,481,Lanche da Tarde
Peras,Colesterol Alto,482,Almoço
Aveia,Doença Celíaca,60,Almoço
Arroz Integral,Doenças Cardíacas,299,Lanche da Tarde
Carne Magra,Diabetes Tipo 2,184,Jantar
Espinafre,Insuficiência Renal,55,Café da Manhã
Abobrinha,Diabetes Tipo 1,348,Lanche da Tarde
Carne Magra,Nenhuma,248,Jantar
Batata Inglesa,Diabetes Tipo 1,155,Jantar
Iogurte Natural,Hipertensão,216,Jantar
Grão-de-Bico,Doenças Cardíacas,55,Café da Manhã
Semente de Linhaça,Hipertensão,366,Café da Manhã
Batata Doce,Doença Celíaca,208,Almoço
Abobrinha,Hipertensão,109,Jantar
Peito de Frango,Colesterol Alto,58,Almoço
Brócolis,Doença Celíaca,241,Jantar
Blueberry,Doença Celíaca,259,Almoço
Amêndoas,Doença Celíaca,425,Almoço
Ervilhas,Nenhuma,136,Lanche da Tarde
Quinoa,Osteoporose,181,Jantar
Lentilhas,Colesterol Alto,321,Almoço
Pão Integral,Doença Celíaca,152,Almoço
Peras,Hipertensão,416,Café da Manhã
Laranja,Obesidade,400,Almoço
Batata Doce,Nenhuma,56,Almoço
Arroz Integral,Nenhuma,143,Lanche da Tarde
Peito de Frango,Nenhuma,72,Jantar
Lentilhas,Obesidade,60,Almoço
Lentilhas,Diabetes Tipo 2,206,Almoço
Aveia,Hipertensão,441,Lanche da Tarde
Peras,Diabetes Tipo 1,397,Jantar
Aveia,Diabetes Tipo 1,133,Almoço
Aveia,Diabetes Tipo 1,52,Almoço
Tomate,Doenças Cardíacas,421,Lanche da Tarde
Tilápia,Diabetes Tipo 2,377,Lanche da Tarde
Brócolis,Insuficiência Renal,229,Jantar
Iogurte Natural,Insuficiência Renal,325,Jantar
Acelga,Nenhuma,293,Almoço
Chia,Nenhuma,144,Almoço
Pepino,Doença Celíaca,336,Lanche da Tarde
Arroz Integral,Osteoporose,176,Jantar
Banana,Doença Celíaca,333,Lanche da Tarde
Acelga,Nenhuma,321,Jantar
Espinafre,Colesterol Alto,97,Jantar
Espinafre,Insuficiência Renal,73,Jantar
Blueberry,Doença Celíaca,492,Jantar
Batata Inglesa,Insuficiência Renal,400,Lanche da Tarde
Semente de Linhaça,Hipertensão,186,Jantar
Castanha de Caju,Insuficiência Renal,191,Café da Manhã
Quinoa,Obesidade,344,Jantar
Peito de Frango,Colesterol Alto,216,Almoço
Morango,Colesterol Alto,308,Lanche da Tarde
Pimentão,Colesterol Alto,348,Café da Manhã
Abobrinha,Diabetes Tipo 1,101,Almoço
Iogurte Natural,Hipertensão,118,Almoço
Blueberry,Obesidade,344,Lanche da Tarde
Cenoura,Diabetes Tipo 2,247,Café da Manhã
Queijo Cottage,Colesterol Alto,109,Lanche da Tarde
Tofu,Diabetes Tipo 2,497,Café da Manhã
Pepino,Diabetes Tipo 2,487,Jantar
Aveia,Insuficiência Renal,112,Café da Manhã
Tilápia,Insuficiência Renal,416,Lanche da Tarde
Pimentão,Doenças Cardíacas,164,Almoço
Batata Inglesa,Nenhuma,467,Almoço
Iogurte Natural,Diabetes Tipo 1,138,Almoço
Quinoa,Insuficiência Renal,158,Café da Manhã
Feijão Preto,Doença Celíaca,270,Almoço
Banana,Obesidade,263,Café da Manhã
Banana,Insuficiência Renal,303,Almoço
Couve,Diabetes Tipo 2,222,Lanche da Tarde
Aveia,Colesterol Alto,192,Lanche da Tarde
Amêndoas,Diabetes Tipo 1,292,Jantar
Arroz Integral,Obesidade,422,Café da Manhã
Amêndoas,Doenças Cardíacas,246,Café da Manhã
Blueberry,Osteoporose,411,Almoço
Tomate,Hipertensão,131,Almoço
Aveia,Colesterol Alto,257,Jantar
Espinafre,Colesterol Alto,203,Café da Manhã
Batata Doce,Osteoporose,497,Almoço
Carne Magra,Obesidade,214,Café da Manhã
Quinoa,Obesidade,446,Almoço
Arroz Integral,Diabetes Tipo 2,88,Almoço
Acelga,Insuficiência Renal,237,Café da Manhã
Acelga,Obesidade,80,Lanche da Tarde
Cenoura,Diabetes Tipo 2,404,Lanche da Tarde
Morango,Diabetes Tipo 2,389,Jantar
Amêndoas,Obesidade,81,Jantar
Batata Doce,Osteoporose,406,Almoço
Tofu,Osteoporose,283,Café da Manhã
Tomate,Nenhuma,381,Almoço
Banana,Insuficiência Renal,57,Almoço
Pepino,Doença Celíaca,119,Lanche da Tarde
Quinoa,Nenhuma,383,Jantar
Aveia,Obesidade,496,Lanche da Tarde
Pimentão,Insuficiência Renal,480,Jantar
Arroz Integral,Obesidade,82,Almoço
Grão-de-Bico,Diabetes Tipo 2,82,Lanche da Tarde
Chia,Insuficiência Renal,78,Almoço
Iogurte Natural,Nenhuma,62,Jantar
Iogurte Natural,Doença Celíaca,143,Lanche da Tarde
Couve,Osteoporose,124,Almoço
Amêndoas,Diabetes Tipo 2,105,Lanche da Tarde
Cenoura,Diabetes Tipo 1,379,Café da Manhã
Batata Inglesa,Diabetes Tipo 2,355,Almoço
Espinafre,Obesidade,69,Almoço
Espinafre,Nenhuma,264,Lanche da Tarde
Iogurte Natural,Diabetes Tipo 2,457,Jantar
Tilápia,Colesterol Alto,80,Almoço
Grão-de-Bico,Colesterol Alto,494,Café da Manhã
Espinafre,Diabetes Tipo 2,486,Jantar
Amêndoas,Osteoporose,319,Jantar
Espinafre,Diabetes Tipo 1,337,Lanche da Tarde
Laranja,Diabetes Tipo 1,236,Café da Manhã
Iogurte Natural,Doença Celíaca,302,Lanche da Tarde
Semente de Linhaça,Obesidade,194,Lanche da Tarde
Aveia,Nenhuma,324,Lanche da Tarde
Ovos,Hipertensão,435,Jantar
Maçã,Nenhuma,65,Lanche da Tarde
Castanha de Caju,Colesterol Alto,210,Café da Manhã
Abobrinha,Obesidade,128,Almoço
Pão Integral,Osteoporose,379,Café da Manhã
Aveia,Doença Celíaca,312,Almoço
Tomate,Obesidade,293,Jantar
Cenoura,Insuficiência Renal,417,Café da Manhã
Ovos,Doenças Cardíacas,245,Jantar
Batata Doce,Doenças Cardíacas,120,Jantar
Blueberry,Obesidade,424,Lanche da Tarde
Iogurte Natural,Diabetes Tipo 1,257,Lanche da Tarde
Peras,Obesidade,271,Café da Manhã
Semente de Linhaça,Obesidade,391,Almoço
Laranja,Diabetes Tipo 1,229,Lanche da Tarde
Arroz Integral,Obesidade,380,Jantar
Arroz Integral,Colesterol Alto,236,Lanche da Tarde
Aveia,Nenhuma,397,Lanche da Tarde
Abobrinha,Osteoporose,460,Lanche da Tarde
Ervilhas,Obesidade,76,Café da Manhã
Blueberry,Insuficiência Renal,283,Jantar
Queijo Cottage,Diabetes Tipo 2,118,Lanche da Tarde
Pão Integral,Doença Celíaca,365,Café da Manhã
Batata Inglesa,Colesterol Alto,463,Almoço
Iogurte Natural,Insuficiência Renal,226,Jantar
Pimentão,Insuficiência Renal,398,Almoço
Batata Doce,Hipertensão,367,Jantar
Peras,Hipertensão,238,Café da Manhã
Batata Inglesa,Obesidade,449,Café da Manhã
Brócolis,Diabetes Tipo 1,416,Jantar
Pepino,Colesterol Alto,141,Café da Manhã
Morango,Nenhuma,474,Almoço
Tomate,Obesidade,210,Café da Manhã
Aveia,Insuficiência Renal,223,Jantar
Peito de Frango,Doença Celíaca,163,Jantar
Aveia,Colesterol Alto,448,Lanche da Tarde
Blueberry,Colesterol Alto,374,Lanche da Tarde
Chia,Obesidade,395,Lanche da Tarde
Feijão Preto,Insuficiência Renal,318,Jantar
Tofu,Colesterol Alto,222,Café da Manhã
Quinoa,Osteoporose,411,Café da Manhã
Batata Doce,Doença Celíaca,365,Almoço
Feijão Preto,Doenças Cardíacas,476,Jantar
Banana,Insuficiência Renal,497,Café da Manhã
Chia,Doença Celíaca,358,Café da Manhã
Lentilhas,Hipertensão,447,Lanche da Tarde
Pão Integral,Obesidade,486,Lanche da Tarde
Espinafre,Hipertensão,228,Café da Manhã
Queijo Cottage,Insuficiência Renal,170,Lanche da Tarde
Tofu,Osteoporose,484,Jantar
Peras,Diabetes Tipo 2,419,Lanche da Tarde
Maçã,Doença Celíaca,279,Jantar
Cenoura,Colesterol Alto,166,Jantar
Amêndoas,Insuficiência Renal,232,Café da Manhã
Semente de Linhaça,Diabetes Tipo 2,389,Almoço
Peras,Doenças Cardíacas,394,Lanche da Tarde
Batata Inglesa,Obesidade,427,Almoço
Grão-de-Bico,Osteoporose,225,Jantar
Grão-de-Bico,Nenhuma,137,Lanche da Tarde
Pão Integral,Diabetes Tipo 2,479,Lanche da Tarde
Couve,Diabetes Tipo 1,112,Lanche da Tarde
Tomate,Hipertensão,316,Lanche da Tarde
Cenoura,Colesterol Alto,144,Almoço
Salmão,Diabetes Tipo 2,146,Café da Manhã
Salmão,Obesidade,410,Jantar
Brócolis,Diabetes Tipo 2,104,Lanche da Tarde
Carne Magra,Osteoporose,400,Lanche da Tarde
Castanha de Caju,Diabetes Tipo 1,184,Lanche da Tarde
Brócolis,Diabetes Tipo 1,459,Lanche da Tarde
Queijo Cottage,Osteoporose,55,Jantar
Laranja,Nenhuma,233,Café da Manhã
Brócolis,Colesterol Alto,273,Almoço
Couve,Diabetes Tipo 1,97,Almoço
Carne Magra,Osteoporose,461,Almoço
Maçã,Diabetes Tipo 1,395,Café da Manhã
Espinafre,Diabetes Tipo 2,467,Almoço
Castanha de Caju,Insuficiência Renal,269,Almoço
Laranja,Colesterol Alto,450,Jantar
Pimentão,Insuficiência Renal,194,Café da Manhã
Batata Doce,Doenças Cardíacas,385,Café da Manhã
Morango,Colesterol Alto,272,Café da Manhã
Tofu,Nenhuma,468,Lanche da Tarde
Cenoura,Nenhuma,493,Almoço
Aveia,Osteoporose,119,Jantar
Grão-de-Bico,Diabetes Tipo 1,122,Almoço
Ovos,Obesidade,194,Café da Manhã
Pepino,Colesterol Alto,280,Lanche da Tarde
Pepino,Hipertensão,357,Café da Manhã
Carne Magra,Doença Celíaca,142,Lanche da Tarde
Acelga,Diabetes Tipo 2,183,Café da Manhã
Chia,Hipertensão,50,Jantar
Peito de Frango,Nenhuma,261,Lanche da Tarde
Carne Magra,Doenças Cardíacas,73,Café da Manhã
Tomate,Doenças Cardíacas,208,Jantar
Espinafre,Osteoporose,294,Almoço
Espinafre,Hipertensão,160,Café da Manhã
Brócolis,Colesterol Alto,344,Lanche da Tarde
Semente de Linhaça,Doenças Cardíacas,218,Jantar
Acelga,Hipertensão,276,Lanche da Tarde
Iogurte Natural,Doença Celíaca,131,Café da Manhã
Feijão Preto,Colesterol Alto,177,Jantar
Abobrinha,Colesterol Alto,449,Almoço
Batata Inglesa,Doença Celíaca,124,Almoço
Peras,Diabetes Tipo 2,324,Almoço
Semente de Linhaça,Diabetes Tipo 1,333,Almoço
Queijo Cottage,Osteoporose,357,Jantar
Ervilhas,Hipertensão,430,Lanche da Tarde
Acelga,Diabetes Tipo 2,476,Lanche da Tarde
Morango,Hipertensão,256,Almoço
Morango,Diabetes Tipo 2,353,Almoço
Arroz Integral,Hipertensão,387,Café da Manhã
Lentilhas,Diabetes Tipo 1,302,Almoço
Couve,Insuficiência Renal,425,Café da Manhã
Banana,Doenças Cardíacas,219,Jantar
Tofu,Nenhuma,286,Almoço
Pimentão,Osteoporose,437,Jantar
Maçã,Diabetes Tipo 2,167,Lanche da Tarde
Tomate,Colesterol Alto,459,Almoço
Salmão,Diabetes Tipo 1,266,Café da Manhã
Tilápia,Colesterol Alto,414,Lanche da Tarde
Aveia,Colesterol Alto,265,Jantar
Batata Inglesa,Diabetes Tipo 1,385,Lanche da Tarde
Tilápia,Osteoporose,71,Jantar
Ovos,Doenças Cardíacas,110,Almoço
Aveia,Insuficiência Renal,79,Café da Manhã
Chia,Nenhuma,72,Jantar
Salmão,Insuficiência Renal,74,Jantar
Pimentão,Insuficiência Renal,117,Café da Manhã
Iogurte Natural,Diabetes Tipo 2,187,Café da Manhã
Cenoura,Doenças Cardíacas,88,Lanche da Tarde
Aveia,Diabetes Tipo 2,370,Lanche da Tarde
Abacate,Obesidade,385,Almoço
Semente de Linhaça,Doenças Cardíacas,192,Jantar
Carne Magra,Obesidade,119,Café da Manhã
Quinoa,Doenças Cardíacas,131,Café da Manhã
Quinoa,Nenhuma,236,Lanche da Tarde
Ovos,Diabetes Tipo 1,411,Jantar
Acelga,Obesidade,117,Lanche da Tarde
Abobrinha,Doença Celíaca,290,Café da Manhã
Semente de Linhaça,Colesterol Alto,261,Jantar
Abobrinha,Nenhuma,132,Almoço
Morango,Nenhuma,413,Almoço
Abacate,Doença Celíaca,227,Almoço
Morango,Obesidade,163,Lanche da Tarde
Grão-de-Bico,Diabetes Tipo 1,435,Almoço
Feijão Preto,Nenhuma,185,Lanche da Tarde
Banana,Hipertensão,58,Café da Manhã
Peras,Hipertensão,81,Café da Manhã
Queijo Cottage,Doenças Cardíacas,174,Café da Manhã
Pão Integral,Osteoporose,320,Café da Manhã
Blueberry,Nenhuma,256,Lanche da Tarde
Peras,Colesterol Alto,454,Café da Manhã
Cenoura,Insuficiência Renal,196,Café da Manhã
Chia,Diabetes Tipo 2,289,Jantar
Arroz Integral,Doença Celíaca,213,Almoço
Peito de Frango,Diabetes Tipo 1,350,Lanche da Tarde
Ervilhas,Doença Celíaca,409,Café da Manhã
Peras,Obesidade,209,Lanche da Tarde
Pepino,Nenhuma,243,Lanche da Tarde
Espinafre,Doença Celíaca,268,Lanche da Tarde
Tilápia,Doenças Cardíacas,299,Jantar
Iogurte Natural,Diabetes Tipo 1,458,Lanche da Tarde
Tofu,Doenças Cardíacas,344,Almoço
Batata Doce,Colesterol Alto,91,Jantar
Tofu,Hipertensão,273,Jantar
Queijo Cottage,Colesterol Alto,234,Café da Manhã
Batata Doce,Doença Celíaca,125,Café da Manhã
Aveia,Hipertensão,109,Lanche da Tarde
Tomate,Obesidade,341,Almoço
Aveia,Diabetes Tipo 1,381,Almoço
Aveia,Osteoporose,291,Almoço
Abacate,Diabetes Tipo 1,97,Lanche da Tarde
Tomate,Nenhuma,483,Jantar
Pimentão,Colesterol Alto,291,Lanche da Tarde
Ervilhas,Hipertensão,420,Café da Manhã
Aveia,Diabetes Tipo 1,289,Jantar
Batata Doce,Doença Celíaca,420,Almoço
Pimentão,Obesidade,415,Café da Manhã
Abacate,Doença Celíaca,335,Café da Manhã
Grão-de-Bico,Osteoporose,356,Almoço
Ovos,Diabetes Tipo 1,171,Jantar
Ervilhas,Osteoporose,444,Jantar
Ervilhas,Doença Celíaca,92,Lanche da Tarde
